state/_union_territory,total_sold_to_ultimate__consumers,domestic,commercial,industrial__power_at_low_and_medium_voltage,industrial__power_at_high__voltage,public_lighting,traction,agriculture,public_water_works_and_sewage_pumping,miscellaneous,industrial_total,domestic_share,commercial_share,industrial_share,agriculture_share,churn_risk,cluster,ml_churn_risk
 Andhra Pradesh,54241.14,11674.85,3884.58,3102.0,14410.99,1619.03,1414.35,16604.57,809.38,721.39,17512.989999999998,0.2152397608162365,0.0716168576102935,0.3228728231006944,0.306125018758824,Medium,0,Medium
 Arunachal Pradesh,271.47,97.0,29.0,45.0,71.47,17.0,0.0,0.0,12.0,0.0,116.47,0.3573138836703871,0.1068258002725899,0.4290345157844328,0.0,Medium,2,High
 Assam,2797.6,1073.97,386.55,64.35,859.04,6.69,0.0,20.86,39.04,347.1,923.39,0.3838897626537031,0.1381720045753503,0.3300650557620818,0.0074563911924506,Medium,1,Low
 Bihar,4984.06,1768.27,414.11,161.84,1269.14,22.91,399.76,798.0,150.03,0.0,1430.98,0.3547850547545575,0.0830868809765532,0.2871113108590185,0.1601104320573989,Low,0,Medium
 Chhattisgarh,12021.45,2183.28,406.77,400.69,5205.3,59.56,711.06,2049.93,106.66,898.2,5605.99,0.1816153625394607,0.0338370163333042,0.4663322644106991,0.1705226906903909,High,0,Medium
 Goa,2616.98,626.52,166.07,133.11,1487.71,36.28,0.0,40.18,127.11,0.0,1620.8200000000002,0.2394057272122828,0.0634586431688434,0.6193474921474372,0.0153535754954183,High,2,High
 Gujarat,45967.89,7809.54,3571.52,7050.89,13841.47,239.45,623.8,11729.71,1064.8,36.71,20892.36,0.1698912001399237,0.077695974298581,0.4544989991926974,0.2551718166746396,High,0,Medium
 Haryana,19291.41,3772.23,1236.02,1113.8,4325.45,54.61,449.36,7365.4,467.19,507.35,5439.25,0.195539361819587,0.0640710036228559,0.2819519153861745,0.3817968722866809,Low,0,Medium
 Himachal Pradesh,5460.51,1089.12,274.66,1356.2,2050.39,13.01,0.0,28.74,368.05,280.34,3406.59,0.1994538971634517,0.0502993310148685,0.6238593098446849,0.0052632446419839,High,2,High
 Jammu & Kashmir,4030.85,1399.08,213.42,950.06,0.0,11.42,0.0,271.42,460.23,725.21,950.06,0.347093044891276,0.0529466489698202,0.2356971854571616,0.0673356736172271,Low,0,Medium
 Jharkhand ,12582.52,1619.58,275.66,133.34,9363.42,89.09,964.6,69.62,67.62,0.0,9496.76,0.1287166640704723,0.0219081710182062,0.7547581883438294,0.0055330728661667,High,2,High
 Karnataka,36039.59,6696.01,5810.84,1537.56,7531.48,616.23,81.41,11314.43,1576.71,874.92,9069.04,0.1857959538385425,0.1612349086102256,0.2516410425312829,0.313944470511457,Low,0,Medium
 Kerala,12188.89,5952.02,2105.19,1046.04,2306.43,254.55,142.17,234.98,70.51,37.0,3352.47,0.488315178822682,0.1727138402266326,0.2750430925211402,0.0192782115516671,Low,1,Low
 Madhya Pradesh,21678.05,5067.71,1230.38,748.57,4681.44,196.1,1442.62,6217.5,565.76,1527.97,5430.009999999999,0.2337714877491287,0.0567569500024218,0.2504842455848196,0.2868108524521348,Low,0,Medium
 Maharashtra,72804.42,16945.89,9113.38,6307.74,22588.0,782.15,2109.88,13066.12,1765.14,106.12,28895.74,0.2327590824842777,0.1251761912257525,0.3968954082732889,0.1794687740112482,Medium,0,Medium
 Manipur,197.12,120.12,14.22,7.34,1.34,3.2,0.0,0.12,9.54,41.24,8.68,0.609375,0.0721387987012987,0.0440340909090909,0.0006087662337662,Low,1,Low
 Meghalaya,945.5,226.69,43.09,4.96,523.58,1.49,0.0,0.5,29.73,115.46,528.5400000000001,0.2397567424643046,0.0455737704918032,0.5590058170280275,0.0005288207297726,High,2,High
 Mizoram,165.5,111.33,11.83,1.61,0.0,4.12,0.0,0.0,25.25,11.36,1.61,0.6726888217522659,0.0714803625377643,0.0097280966767371,0.0,Low,1,Low
 Nagaland,192.97,145.0,8.95,13.9,0.0,4.86,0.0,0.04,2.2,18.2,13.9,0.7514121366015443,0.046380266362647,0.0720319220604239,0.0002072861066487,Low,1,Low
 Orissa,11732.52,2946.7,807.0,318.21,6335.2,53.9,624.84,141.49,150.83,354.35,6653.41,0.251156614265307,0.0687831770156795,0.5670912983740918,0.012059642770692,High,2,High
 Punjab,29224.63,6458.66,1896.98,1984.68,8453.09,135.26,123.41,9325.42,327.98,519.15,10437.77,0.2210005738310459,0.0649103170852804,0.3571566175517021,0.3190945445673734,Medium,0,Medium
 Rajasthan ,26641.57,5014.92,1631.93,4155.54,3702.76,195.9,302.27,9790.86,1238.34,609.05,7858.3,0.1882366542212039,0.0612550236341176,0.2949638478513091,0.3675031163703941,Low,0,Medium
 Sikkim ,277.31,63.74,46.97,97.78,0.0,1.95,0.0,0.0,0.0,66.87,97.78,0.2298510692005337,0.1693772312574375,0.3526017813998774,0.0,Medium,2,High
