State,Sector,Consumption
 Andhra Pradesh,Total sold to ultimate  consumers,54241.14
 Arunachal Pradesh,Total sold to ultimate  consumers,271.47
 Assam,Total sold to ultimate  consumers,2797.6
 Bihar,Total sold to ultimate  consumers,4984.06
 Chhattisgarh,Total sold to ultimate  consumers,12021.45
 Goa,Total sold to ultimate  consumers,2616.98
 Gujarat,Total sold to ultimate  consumers,45967.89
 Haryana,Total sold to ultimate  consumers,19291.41
 Himachal Pradesh,Total sold to ultimate  consumers,5460.51
 Jammu & Kashmir,Total sold to ultimate  consumers,4030.85
 Jharkhand ,Total sold to ultimate  consumers,12582.52
 Karnataka,Total sold to ultimate  consumers,36039.59
 Kerala,Total sold to ultimate  consumers,12188.89
 Madhya Pradesh,Total sold to ultimate  consumers,21678.05
 Maharashtra,Total sold to ultimate  consumers,72804.42
 Manipur,Total sold to ultimate  consumers,197.12
 Meghalaya,Total sold to ultimate  consumers,945.5
 Mizoram,Total sold to ultimate  consumers,165.5
 Nagaland,Total sold to ultimate  consumers,192.97
 Orissa,Total sold to ultimate  consumers,11732.52
 Punjab,Total sold to ultimate  consumers,29224.63
 Rajasthan ,Total sold to ultimate  consumers,26641.57
 Sikkim ,Total sold to ultimate  consumers,277.31
 Tamil Nadu,Total sold to ultimate  consumers,53553.49
 Tripura,Total sold to ultimate  consumers,450.84
 Uttara Khand,Total sold to ultimate  consumers,4736.11
 Uttar Pradesh,Total sold to ultimate  consumers,39636.82
 West Bengal ,Total sold to ultimate  consumers,27779.3
 A. & N. Islands,Total sold to ultimate  consumers,160.48
 Chandigarh,Total sold to ultimate  consumers,1143.31
 D. & N.Haveli,Total sold to ultimate  consumers,3070.0
 Daman & Diu,Total sold to ultimate  consumers,1325.35
 Delhi,Total sold to ultimate  consumers,17465.43
 Lakshadweep,Total sold to ultimate  consumers,23.5
 Puducherry ,Total sold to ultimate  consumers,1864.98
 Andhra Pradesh,Domestic,11674.85
 Arunachal Pradesh,Domestic,97.0
 Assam,Domestic,1073.97
 Bihar,Domestic,1768.27
 Chhattisgarh,Domestic,2183.28
 Goa,Domestic,626.52
 Gujarat,Domestic,7809.54
 Haryana,Domestic,3772.23
 Himachal Pradesh,Domestic,1089.12
 Jammu & Kashmir,Domestic,1399.08
 Jharkhand ,Domestic,1619.58
 Karnataka,Domestic,6696.01
 Kerala,Domestic,5952.02
 Madhya Pradesh,Domestic,5067.71
 Maharashtra,Domestic,16945.89
 Manipur,Domestic,120.12
